name_id;Finishing;ShortPassing;LongPassing;BallControl;Dribbling;Acceleration;SprintSpeed;Agility;Balance;ShotPower;Jumping;Stamina;Aggression;Interceptions;Vision;GKHandling;GKKicking;GKReflexes
65;55;81;71;81;80;83;86;79;78;80;79;92;82;82;70;7;9;5
66;67;84;68;91;92;97;93;93;91;86;61;78;55;48;84;15;9;5
67;87;83;72;82;75;73;75;75;72;78;81;87;57;58;85;7;11;14
68;69;90;87;90;90;78;69;90;86;75;75;75;57;78;86;11;7;13
69;87;86;75;86;87;86;85;86;81;88;70;73;49;50;86;12;13;11
70;46;81;80;77;69;76;76;72;73;68;76;87;82;89;74;9;10;5
71;48;77;85;75;69;57;65;60;52;74;85;71;82;90;74;2;3;4
72;45;79;85;74;62;61;66;60;50;78;84;74;80;87;67;6;14;14
73;60;89;85;89;86;66;66;77;79;78;61;78;70;78;88;7;13;8
74;47;65;65;64;64;65;75;59;53;66;85;69;86;86;47;4;8;11
75;73;89;82;90;84;72;69;79;70;70;48;69;48;24;91;14;10;14
76;69;85;81;82;77;68;67;72;78;83;76;79;87;88;75;11;5;7
77;70;90;85;92;90;70;67;79;84;65;47;55;58;66;93;13;6;7
78;42;70;68;67;59;70;73;48;48;50;78;77;86;86;57;13;12;12
79;80;85;85;87;86;68;70;66;59;83;85;85;73;78;85;10;7;7
80;82;83;82;85;86;85;82;79;76;86;58;76;45;45;84;9;6;10
81;82;83;75;89;90;79;79;90;91;84;69;80;73;28;81;9;8;15
82;13;45;44;30;27;54;45;40;37;21;52;32;27;11;66;81;85;88
83;66;85;80;85;80;78;68;84;83;75;79;85;74;79;79;15;7;15
84;78;85;83;85;83;74;73;76;69;78;79;86;69;78;82;13;12;9
85;80;82;76;90;91;88;83;93;88;79;61;76;48;39;81;9;13;6
86;63;82;80;83;79;79;86;79;77;83;82;87;69;84;77;7;14;9
87;72;90;89;86;82;71;68;74;78;84;61;90;71;66;87;12;5;13
88;88;80;59;83;85;81;84;85;85;83;76;79;70;42;76;6;9;6
89;10;60;61;65;54;80;85;68;59;40;86;76;86;86;22;6;8;12
90;54;75;72;70;51;57;61;64;62;69;92;67;91;84;53;5;8;12
91;79;90;87;84;78;51;43;66;72;78;51;78;58;81;86;9;12;8
92;81;84;80;84;82;73;73;69;66;83;90;92;81;81;78;16;11;8
93;12;32;36;22;11;51;47;55;51;15;71;45;40;15;48;81;71;87
94;80;77;75;86;87;86;79;90;87;84;87;83;79;46;82;10;15;13
95;76;79;72;86;93;87;75;92;87;69;72;85;46;38;79;16;12;7
96;34;75;83;70;64;67;72;56;52;78;74;69;81;81;75;12;15;5
97;75;83;79;82;76;60;55;74;75;86;85;83;93;84;80;2;4;4
98;79;81;77;85;84;84;88;78;74;84;84;89;65;69;79;7;10;6
99;89;77;72;84;76;65;66;57;36;86;66;76;51;50;74;11;13;15
100;72;85;82;84;81;54;60;55;54;82;68;78;82;86;82;9;5;8
101;87;65;52;83;77;74;76;58;53;83;64;76;93;40;74;13;12;11
102;75;84;81;85;80;78;73;76;82;84;76;93;88;86;76;11;14;11
103;57;76;70;68;60;60;65;46;36;92;45;61;72;83;59;10;14;14
104;64;83;77;79;78;79;77;83;79;78;84;94;86;86;76;11;5;14
105;43;70;69;73;67;66;69;61;57;70;82;65;83;85;58;6;10;12
106;81;83;62;86;83;76;76;76;66;81;73;75;65;22;85;11;5;7
107;59;80;77;83;77;76;75;75;62;71;71;89;81;84;70;15;9;5
108;45;73;66;70;63;52;59;57;41;75;72;66;87;82;59;9;5;6
109;46;70;61;62;58;65;70;63;49;63;76;60;94;85;48;15;5;10
110;86;79;73;84;79;58;59;75;39;90;68;61;84;20;79;15;10;12
111;40;77;67;73;63;72;79;60;55;66;73;76;87;82;49;7;10;15
112;37;68;58;56;47;69;70;56;43;72;92;67;89;85;27;11;7;15
113;65;83;86;82;82;84;85;73;70;80;81;92;78;80;74;8;12;14
114;45;76;78;73;59;62;66;45;55;68;75;67;75;85;57;11;5;5
115;73;85;82;85;83;79;76;77;78;87;72;89;65;70;86;14;15;14
116;20;78;63;63;42;52;84;33;33;77;38;65;82;82;30;7;14;15
117;84;77;60;86;87;88;89;85;81;84;74;75;58;42;73;8;8;11
118;83;85;80;85;83;73;76;76;62;78;67;90;84;74;85;6;9;8
119;66;83;78;82;76;69;72;69;67;78;75;92;85;84;75;12;6;8
120;33;81;78;76;59;73;76;69;68;53;86;75;80;84;51;6;12;13
121;52;84;86;79;80;49;53;51;51;59;69;84;75;84;83;6;5;14
122;57;89;87;85;82;75;69;80;73;71;58;79;79;78;87;7;13;8
123;81;83;76;86;85;87;80;86;71;83;76;83;56;42;80;11;14;9
124;41;81;71;83;76;79;84;81;79;64;76;84;81;83;57;13;15;15
125;79;80;74;85;85;87;87;82;79;87;74;79;76;28;82;14;6;10
126;85;79;64;85;88;88;87;82;76;86;63;85;60;39;80;13;13;10
127;18;32;31;21;15;63;64;67;62;20;82;36;43;25;48;80;75;88
128;25;71;71;71;63;67;69;61;59;65;76;66;78;87;59;10;7;13
129;11;33;31;23;19;57;56;70;30;23;75;30;25;19;44;85;71;90
130;67;80;69;85;90;89;93;91;82;84;75;78;78;62;76;5;13;9
131;88;79;64;85;86;85;78;87;74;79;68;75;63;39;75;16;9;13
132;9;45;40;22;16;46;52;52;44;23;73;43;28;22;54;82;75;82
133;64;84;83;79;80;52;59;44;50;83;67;84;80;86;73;15;12;9
134;11;15;20;20;10;38;44;43;39;14;69;34;31;18;53;79;68;88
135;72;86;82;83;78;66;57;71;75;69;63;77;76;87;86;7;11;12
136;51;78;67;78;79;86;93;67;72;86;83;89;78;81;69;6;16;8
137;73;88;83;86;85;67;68;78;78;77;61;69;70;77;86;14;5;13
138;78;80;51;85;82;88;89;85;80;78;73;91;54;40;78;5;14;11
139;72;82;79;85;86;85;84;92;77;83;72;73;73;38;82;7;11;11
140;84;75;67;77;76;67;73;67;53;80;85;83;88;66;74;8;5;15
141;77;80;77;84;88;91;86;89;79;79;41;85;44;55;83;12;13;13
142;14;39;39;14;15;59;54;62;58;24;73;41;20;22;46;83;77;84
143;66;88;87;86;84;68;64;79;83;74;57;74;73;76;88;8;7;10
144;71;89;79;84;78;67;74;78;60;78;76;86;82;80;79;7;7;7
145;78;84;80;90;86;75;72;79;80;80;48;73;57;37;87;15;9;12
146;88;76;75;88;84;65;64;77;69;84;69;66;61;34;83;11;7;5
147;44;60;51;58;58;64;73;60;64;77;86;69;88;77;45;8;5;5
148;11;33;34;15;12;45;50;51;55;21;72;37;31;25;49;84;77;82
149;86;79;58;82;75;69;66;76;75;79;91;68;75;41;70;13;6;5
150;12;44;46;40;12;59;60;62;47;36;60;34;35;20;59;77;82;88
151;27;74;72;71;59;54;53;53;56;65;77;55;81;86;57;6;5;8
152;76;82;74;87;89;94;86;92;94;76;70;75;56;40;85;11;12;6
153;21;65;65;65;64;61;77;52;64;54;81;53;66;90;62;2;4;4
154;67;79;75;88;89;84;82;91;84;79;63;65;74;24;84;14;10;15
155;85;82;71;88;89;83;76;87;90;86;60;64;47;37;80;8;11;15
156;78;78;70;83;90;93;92;90;85;83;59;73;54;36;84;6;14;13
157;84;76;66;85;86;87;85;92;91;78;77;84;73;32;77;8;6;15
158;74;83;82;83;85;88;87;85;76;82;64;86;62;40;83;12;13;13
159;38;74;61;70;56;83;78;77;68;53;69;76;88;84;42;15;13;10
160;85;73;47;74;75;79;83;55;55;85;84;56;65;32;58;11;20;20
161;31;79;75;78;58;75;78;74;65;55;77;80;85;83;60;8;14;9
162;74;88;78;88;88;78;60;89;90;76;53;82;78;75;81;14;15;9
163;75;84;86;81;77;75;66;75;74;82;90;87;81;76;80;10;14;14
164;75;84;75;86;85;86;84;87;86;79;71;79;63;66;85;15;13;14
165;76;77;63;83;88;95;93;87;84;77;75;76;36;23;75;3;5;5
166;20;74;69;64;55;64;77;48;44;44;72;63;76;80;61;8;7;14
167;80;81;79;84;82;77;76;76;65;84;58;76;67;58;81;11;13;10
168;87;77;55;84;83;93;93;81;76;74;78;83;63;37;61;9;8;9
169;69;85;83;83;79;73;74;79;72;80;73;82;76;80;80;12;9;15
170;72;84;79;83;81;84;79;76;70;77;67;86;80;83;82;8;15;9
171;86;78;73;82;84;90;91;87;79;82;82;83;60;33;81;13;6;13
172;68;86;89;83;83;76;74;85;78;80;38;86;71;62;88;7;11;14
173;73;83;75;83;82;84;79;79;84;82;68;90;65;44;83;16;9;7
174;79;77;71;87;88;89;87;88;71;84;68;74;61;18;71;11;9;10
175;83;78;56;81;78;77;80;70;69;81;72;72;55;40;58;12;7;10
176;39;74;67;62;57;60;67;52;57;46;90;78;92;81;50;11;14;7
177;62;87;82;89;88;84;74;81;85;79;63;82;77;78;88;5;6;7
178;11;32;36;16;10;34;33;41;39;25;71;37;18;21;55;80;76;84
179;71;86;83;83;80;68;65;76;72;81;77;77;71;69;84;14;12;8
180;81;79;68;83;87;92;90;87;88;85;64;68;63;38;74;10;10;7
181;19;55;55;40;14;53;44;55;55;31;72;45;30;24;68;78;88;86
182;34;72;69;68;47;55;61;61;49;43;87;58;83;84;41;13;14;12
183;29;81;74;80;69;67;71;61;59;46;75;79;79;81;67;15;11;8
184;70;86;75;89;88;83;77;86;84;78;50;77;23;20;84;15;9;9
185;78;84;79;89;88;78;77;80;75;86;75;69;48;66;84;13;5;8
186;71;80;74;88;90;93;89;89;88;83;38;72;67;69;79;10;9;7
187;78;77;74;81;88;94;90;94;90;79;77;75;72;50;74;10;14;14
188;61;82;79;78;76;63;68;58;60;76;67;83;85;84;73;7;13;15
189;32;80;61;78;55;70;79;60;68;54;81;78;78;81;53;7;10;7
190;13;35;32;22;20;45;51;50;31;22;64;31;41;22;55;80;83;86
191;72;85;77;80;82;81;74;82;80;70;70;95;87;86;79;13;5;8
192;37;73;77;72;65;65;55;33;35;75;68;81;73;85;65;9;9;11
193;63;86;78;83;78;78;79;69;74;65;47;85;68;81;83;16;11;10
194;78;78;58;82;82;88;91;84;77;83;78;78;60;31;74;13;10;5
195;76;83;84;82;80;82;73;77;77;75;67;86;68;70;85;14;9;15
196;63;84;79;84;86;84;71;91;80;69;67;88;64;75;82;11;7;16
197;15;36;41;24;19;53;49;59;49;28;80;39;40;15;42;79;79;82
198;11;30;25;17;19;47;51;45;43;21;73;39;32;21;41;82;70;85
199;50;80;72;79;75;76;72;80;80;80;87;89;84;87;67;6;8;13
200;74;80;71;86;84;84;78;87;85;85;69;83;69;64;84;11;14;7
201;68;84;73;83;79;69;76;64;58;84;71;90;75;79;69;7;13;12
202;10;24;26;19;11;51;54;42;37;24;75;32;31;20;52;80;79;84
203;27;63;59;59;51;50;52;34;51;57;81;67;86;83;23;14;5;10
204;68;87;84;84;75;65;66;65;68;81;53;79;86;83;79;12;11;7
205;87;73;37;74;68;49;54;32;32;82;51;82;70;39;68;12;15;8
206;76;86;82;84;78;75;72;86;80;80;64;76;43;45;83;10;15;12
207;85;78;66;85;81;76;82;71;50;89;74;66;70;30;74;2;2;2
208;48;79;77;73;68;65;64;65;62;80;76;85;88;83;69;6;11;13
209;79;82;79;84;84;85;79;85;85;78;61;82;71;42;80;11;13;8
210;55;77;77;79;66;59;62;69;56;79;78;66;85;85;69;12;10;14
211;11;25;26;24;15;38;47;39;36;24;72;32;36;23;42;81;52;87
212;78;85;79;88;82;69;62;84;89;75;70;71;50;39;85;10;14;8
213;11;34;43;15;12;56;54;55;51;25;71;32;41;20;42;84;78;83
214;12;31;30;23;20;53;57;61;54;38;79;45;39;22;64;81;80;82
215;13;40;31;25;15;48;54;55;58;23;73;45;38;21;58;84;80;85
216;43;77;74;74;60;49;53;53;48;76;85;74;90;87;75;12;9;8
217;59;79;74;75;72;66;67;65;63;74;77;86;79;86;76;6;7;7
218;62;82;81;78;77;67;67;78;80;77;82;80;80;87;81;8;8;6
219;13;37;28;17;15;53;43;52;36;24;74;31;37;23;55;81;70;84
220;72;90;89;85;79;56;54;62;75;77;63;56;45;50;91;10;8;15
221;66;86;80;89;89;72;72;79;76;81;75;70;79;82;80;14;11;14
222;74;83;74;87;84;78;78;84;90;75;34;58;51;33;84;6;9;10
223;13;34;34;23;11;40;46;35;45;21;59;31;34;19;37;82;76;84
224;50;81;80;77;64;63;67;64;72;81;77;74;84;87;71;7;13;9
225;14;19;22;23;10;50;63;50;60;24;73;34;32;22;65;83;82;82
226;16;28;17;19;12;35;37;39;27;21;36;20;22;13;25;78;68;85
227;53;75;72;73;65;62;72;56;59;79;80;74;79;79;63;11;11;10
228;64;83;80;82;77;70;66;69;72;70;69;86;63;80;83;10;7;8
229;72;85;80;83;82;68;70;79;86;76;83;78;73;75;82;13;13;12
230;12;34;24;28;28;46;54;64;38;24;72;34;30;26;50;78;72;88
231;53;82;78;76;77;80;81;72;80;60;43;93;75;82;77;14;14;9
232;56;67;58;64;60;68;74;61;63;74;91;76;86;82;50;12;14;18
233;8;18;16;21;9;41;42;34;41;21;67;29;34;23;71;84;77;78
234;66;78;55;83;85;95;94;94;92;72;65;87;60;43;79;9;7;9
235;75;77;68;81;86;89;90;85;78;81;65;81;67;50;77;12;11;9
236;50;83;77;81;78;81;74;83;93;78;52;85;85;87;74;5;13;9
237;75;82;73;85;85;87;82;92;84;85;58;74;53;26;83;14;15;9
238;19;38;41;16;18;45;52;40;57;21;68;42;39;16;62;82;79;81
239;42;80;63;79;65;80;84;70;67;62;83;82;86;81;61;7;8;10
240;23;78;69;76;60;72;73;62;60;58;79;73;80;82;60;10;9;7
241;86;79;53;86;87;78;72;82;82;82;69;76;73;21;66;14;14;15
242;57;76;68;78;76;81;86;78;74;67;59;89;78;80;74;8;10;14
243;51;86;81;81;66;53;35;67;72;74;65;88;88;82;76;14;14;11
244;70;82;72;87;86;83;83;85;79;82;49;80;52;66;80;15;10;12
245;78;82;69;85;87;78;84;82;78;80;63;73;42;29;83;16;11;9
246;33;65;59;65;64;56;67;59;53;58;81;67;72;86;50;10;5;5
247;77;80;77;83;85;85;86;83;78;78;63;55;48;50;81;16;15;14
248;58;78;75;83;84;91;91;78;74;80;73;89;73;77;74;9;15;14
249;30;70;69;69;65;63;69;60;53;64;78;75;84;85;40;14;12;9
250;63;85;79;81;78;73;76;72;53;79;84;87;76;79;73;13;9;7
251;74;85;80;86;79;77;79;84;87;76;83;87;73;80;76;16;15;15
252;85;65;48;76;76;89;91;75;76;85;76;86;92;49;72;14;7;11
253;88;68;42;75;78;78;79;79;75;81;83;83;83;31;61;7;12;7
254;70;85;69;87;82;76;70;81;82;73;53;74;62;43;83;7;9;11
255;78;78;66;83;83;84;82;86;86;80;63;87;73;53;82;10;8;9
256;74;84;78;87;86;58;62;69;39;76;44;61;78;54;84;15;13;7
257;80;78;69;82;82;90;89;93;88;79;69;84;47;49;73;14;14;16
258;27;75;72;69;59;67;78;59;50;70;73;60;88;80;57;15;10;8
259;70;77;75;79;78;86;84;87;82;82;74;90;79;78;76;8;10;10
260;43;77;72;76;70;39;53;52;58;68;74;68;84;78;60;16;9;9
261;76;82;74;82;75;74;81;63;49;77;72;92;73;76;71;13;15;9
262;38;73;71;70;64;62;62;60;37;77;47;69;84;83;62;7;10;16
263;69;81;79;82;78;69;76;76;67;86;83;85;86;84;78;10;10;10
264;73;86;76;84;87;71;70;80;80;79;73;67;44;70;81;6;15;7
265;42;74;69;69;60;71;74;69;67;61;83;72;82;82;65;6;15;7
266;80;78;51;82;83;76;86;66;60;80;84;68;56;24;76;5;4;5
267;10;47;33;32;12;54;50;48;50;35;71;40;25;25;60;83;75;80
268;84;78;66;83;84;87;83;91;87;79;81;69;55;44;79;13;9;7
269;84;75;66;82;80;88;88;80;72;84;79;79;72;39;73;13;6;6
270;78;83;77;84;86;75;76;80;81;76;40;72;46;50;84;7;15;14
271;77;75;65;87;90;89;92;88;82;78;57;76;73;23;77;10;15;10
272;80;88;87;88;86;77;72;79;74;77;54;73;29;28;87;8;6;11
273;78;84;78;82;84;86;76;89;92;70;88;79;56;73;84;16;9;9
274;55;79;78;80;70;75;72;72;71;66;89;67;80;86;75;15;13;8
275;42;72;70;62;64;46;64;32;30;50;54;81;83;80;50;13;15;13
276;84;78;50;80;79;62;65;65;43;84;72;73;65;35;68;14;16;8
277;56;78;74;79;77;79;85;79;61;71;84;87;77;78;73;13;14;12
278;37;74;70;71;53;55;59;56;58;59;78;72;82;83;56;8;6;14
279;72;79;77;77;73;76;78;73;74;78;91;90;84;85;77;12;11;15
280;15;35;37;23;14;44;46;50;43;21;58;44;33;16;42;77;77;83
281;75;87;82;90;84;74;64;86;85;68;58;73;58;65;86;7;12;10
282;58;77;69;70;53;58;65;63;67;66;83;68;82;82;55;9;15;6
283;73;86;83;86;87;69;69;79;63;78;49;62;65;69;87;9;6;12
284;78;80;71;85;84;79;74;82;80;77;66;70;56;49;77;11;12;9
285;70;84;80;85;83;75;77;77;77;84;69;84;68;72;82;14;7;14
286;8;37;24;23;12;44;54;49;52;22;74;36;35;18;50;78;73;86
287;76;77;75;85;87;93;91;90;83;83;62;79;56;49;79;7;11;13
288;64;79;77;81;72;44;55;36;31;79;75;86;87;84;77;16;16;13
289;79;81;73;88;87;85;82;92;84;77;68;78;58;51;82;13;13;9
290;74;84;80;82;81;64;69;73;74;81;66;89;73;69;79;11;5;8
291;48;79;78;80;75;76;75;74;74;75;73;88;70;79;80;14;8;10
292;55;77;77;76;79;73;70;63;58;91;80;84;85;81;77;15;8;6
293;77;84;80;85;80;58;55;68;63;83;68;86;57;55;86;8;10;12
294;80;80;76;86;86;88;80;94;91;80;34;77;75;26;81;3;6;3
295;78;78;74;85;84;79;83;70;66;84;67;78;84;44;77;15;10;15
296;71;81;75;83;84;84;79;87;81;72;81;69;57;40;82;11;9;5
297;67;84;84;80;73;67;66;70;70;77;79;91;77;80;83;13;7;13
298;83;84;80;85;82;69;67;74;76;81;65;71;63;41;83;7;5;9
299;70;80;83;79;75;68;69;67;71;87;77;88;80;80;78;9;6;9
300;49;78;74;72;68;52;55;57;58;73;73;90;91;85;63;12;13;14
301;45;66;68;68;56;52;67;54;54;77;76;84;83;83;44;3;5;3
302;44;70;72;73;65;49;65;57;46;64;81;80;81;77;60;9;12;6
303;70;84;76;84;84;77;76;80;81;76;80;85;64;76;78;6;14;6
304;41;64;62;72;48;36;43;29;32;63;41;74;84;85;47;9;12;14
305;83;79;58;83;70;43;50;57;54;85;84;62;76;42;76;15;11;5
306;43;76;67;67;54;67;69;58;56;65;91;78;82;82;48;16;7;16
307;60;85;83;84;80;74;73;81;88;74;74;84;72;73;83;10;10;10
308;58;69;72;73;60;34;36;54;34;80;76;62;77;83;63;6;13;14
309;38;68;53;60;52;50;63;35;34;58;77;68;83;82;49;16;11;7
310;10;23;28;18;15;50;51;52;55;20;68;34;34;20;55;76;76;81
311;17;36;37;22;18;30;33;35;32;21;66;29;18;10;60;84;76;83
312;32;76;69;66;62;64;66;65;61;54;78;62;86;84;56;11;9;7
313;10;31;27;23;10;48;34;57;40;24;80;31;11;15;46;83;72;83
314;50;86;82;84;80;65;65;76;78;77;62;75;83;82;80;12;7;7
315;61;81;79;86;84;77;79;84;87;86;80;74;78;79;78;11;9;7
316;86;76;67;85;83;72;67;71;73;81;67;70;67;29;75;9;9;9
317;83;72;52;82;76;64;66;50;55;82;90;60;82;23;73;10;9;9
318;12;35;33;22;12;35;38;46;34;21;50;32;17;23;53;82;70;79
319;12;21;22;23;25;59;57;62;46;28;77;43;23;22;65;74;58;84
320;78;75;65;80;83;90;93;88;77;87;68;79;70;42;74;6;15;14
321;72;79;80;82;82;86;78;89;88;67;44;67;41;31;80;7;8;10
322;75;75;66;82;86;94;90;86;84;79;86;76;58;21;77;13;6;14
323;36;78;76;75;67;72;86;69;66;58;78;76;75;79;66;9;13;9
324;52;87;82;88;86;74;76;84;78;68;76;74;62;78;85;13;10;9
325;50;73;65;78;80;91;92;88;83;74;80;91;77;80;62;12;10;12
326;77;84;80;81;81;71;66;79;76;75;59;77;69;74;86;11;12;15
327;79;80;80;83;81;69;67;73;66;75;46;73;66;77;82;11;7;13
328;33;70;56;65;60;68;79;65;62;55;85;72;87;81;54;14;10;8
329;68;83;80;85;85;73;67;82;79;64;52;75;76;76;83;15;16;13
330;77;74;67;80;84;94;93;91;76;76;75;80;64;45;75;10;14;10
331;80;75;68;83;87;88;88;78;80;76;62;82;58;59;75;13;13;8
332;69;86;84;84;78;75;70;82;88;78;69;75;73;74;83;13;9;12
333;74;78;74;83;84;85;84;90;82;78;50;79;63;38;75;12;6;11
334;69;83;83;83;81;69;70;74;74;80;68;84;79;81;80;8;15;8
335;77;79;66;81;82;92;94;80;55;85;86;75;66;21;75;15;14;13
336;82;73;65;87;87;87;82;87;83;80;50;74;41;48;78;10;9;16
337;36;77;72;74;68;66;70;61;61;31;72;69;73;82;62;12;8;8
338;64;83;78;83;83;73;69;81;77;76;64;79;60;72;81;15;8;8
339;18;26;22;15;14;41;46;31;47;18;49;23;20;24;49;77;75;86
340;47;77;70;77;75;79;82;76;69;68;69;87;79;80;59;6;14;11
341;65;82;79;85;84;82;84;79;76;76;54;72;56;75;82;9;12;6
342;61;80;78;79;83;88;87;82;77;67;74;84;75;79;75;12;15;11
343;50;79;78;82;83;85;83;85;86;78;64;83;68;80;60;13;10;13
344;75;84;75;84;83;82;68;88;86;79;63;72;69;84;79;6;8;8
345;73;82;74;80;78;63;70;60;69;84;72;93;78;82;76;12;12;14
346;84;68;55;78;75;89;92;91;90;79;86;72;66;20;58;14;14;8
347;84;68;55;80;80;73;75;73;77;80;74;66;58;34;68;12;8;8
348;82;76;68;79;78;78;77;79;78;83;75;82;63;39;78;15;16;15
349;58;79;70;79;76;76;74;70;68;65;73;85;76;79;75;7;6;14
350;30;73;69;65;43;65;77;65;59;44;81;62;78;78;55;16;11;13
351;88;63;62;78;74;69;74;68;63;85;62;73;67;36;60;16;16;6
352;79;79;67;81;79;83;77;75;79;86;75;84;70;55;79;13;14;13
353;33;80;69;79;80;77;86;68;70;79;71;81;75;79;76;7;9;9
354;45;80;72;81;71;52;52;66;54;53;51;93;78;81;73;13;9;8
355;44;77;70;79;74;82;79;67;72;75;85;90;75;79;68;11;10;12
356;69;81;72;83;85;86;77;91;83;78;63;77;57;41;80;9;7;8
357;72;78;58;83;87;90;91;86;78;85;75;73;59;38;76;12;7;10
358;80;71;45;79;77;79;79;76;69;85;89;76;87;40;66;13;9;9
359;54;79;74;80;79;71;82;72;62;80;73;88;74;76;69;7;8;13
360;11;17;21;23;11;44;40;36;25;18;62;34;23;24;41;76;79;82
361;78;82;74;87;83;67;70;70;56;87;33;64;58;46;82;13;8;6
362;81;81;67;81;79;78;77;73;84;85;78;88;78;45;81;7;9;12
